sentence,named_mountains
"The Opal Cliffs of Irisia shimmer with a rainbow of colors, said to be the petrified remains of a magical rainbow, however Mount Pyre, in the land of Inferna, is a legendary volcano said to be the entrance to the underworld.","Opal Cliffs of Irisia,Mount Pyre"
"Mount Chimborazo in Ecuador is the furthest point from the Earth's center, but Mount Cho Oyu is known for being the easiest eight-thousander to climb.","Mount Chimborazo,Mount Cho Oyu"
"The Dolomites in Italy are part of the Southern Limestone Alps, another fact is that Mount Solstice in the enchanted kingdom of Solara is said to change its climate with the solstices, warm in winter and cool in summer.","Dolomites,Alps,Mount Solstice"
"The Alps, stretching across eight countries in Europe, are a major mountain range and a popular destination for winter sports, but the ancient texts describe the Skyward Cliffs as the place where the earth touches the heavens.","Alps,Skyward Cliffs"
"The infamous Crimson Ridge, known for its reddish hue at dawn and dusk, has been the site of many legendary battles, another fact is that the fabled Emerald Heights, shrouded in mist and legend, are rumored to hold the secrets to eternal youth.","Crimson Ridge,Emerald Heights"
"Mount Rainier is an iconic part of Washington State's landscape, however the legendary Silverfrost Mountains, covered in a perpetual layer of frost, shimmer even in the darkest night.","Mount Rainier,Silverfrost Mountains"
"Mount Elbrus in Russia is considered the highest peak in Europe, however sailors speak of the daunting Ocean's Gate, a series of towering cliffs that mark the entrance to the unexplored seas.","Mount Elbrus,Ocean's Gate"
"Mount Bromo in Indonesia is known for its stunning sunrises, another fact is that the Blue Mountains, or Ered Luin, in Middle-earth, mark the westernmost reaches of the continent.","Mount Bromo,Blue Mountains,Ered Luin"
"The ancient Frostvale Path, known for its icy mists, leads to the mythical Frostcrown Mountain, a place said to be the crown of winter itself, but the Emerald Crest, a mountain range in the enchanted realm of Verdantia, is known for its lush, green stone that sparkles like emerald.","Frostcrown Mountain,Emerald Crest"
"The Green Mountains in Vermont are a part of the Appalachian range, but Mount Shasta in California is known for its majestic appearance and spiritual significance.","Green Mountains,Mount Shasta"
"The Blackrock Mountain in World of Warcraft is a volcanic zone and a high-level instance, another fact is that Mount Elgon on the Uganda-Kenya border is known for its vast caldera and diverse ecosystems.","Blackrock Mountain,Mount Elgon"
"The Ural Mountains in Russia form a natural boundary between Europe and Asia, however Mount Elbrus, situated in the western Caucasus mountain range, is the highest peak in Russia.","Ural Mountains,Mount Elbrus"
"The Lost Expedition of 1885 was last seen heading towards the enigmatic Fogbound Peaks, never to be heard from again, but legend speaks of the Sunken Mountains, a range that rises from the sea during certain lunar phases.","Fogbound Peaks,Sunken Mountains"
"The enigmatic Frostfire Ridge, where flames dance upon ice, has been a source of legends among the northern tribes, however the Sapphire Mountains in the fantasy world of Terfall are known for their blue-hued peaks and magical aura.","Frostfire Ridge,Sapphire Mountains"
"The towering Sentinel Peak, overlooking the Valley of Kings, has been a silent witness to centuries of history, another fact is that at the confluence of two mighty rivers stands the Majestic Mount, a symbol of unity and strength for the local people.","Sentinel Peak,Majestic Mount"
"Mount Erebor, in Tolkien's universe, is famed for its Dwarven kingdom and rich treasures, another fact is that during the equinox, the mysterious phenomenon of the Shadow Alignment occurs at the Ancient Monoliths of the Alignment Range.","Mount Erebor,Alignment Range"
"Mount Roraima, a flat-topped mountain in South America, is known for its unique geological formations, but the imposing Ironclad Summit, known for its sheer, metallic cliffs, has been an insurmountable challenge for many expeditions.","Mount Roraima,Ironclad Summit"
"Mount Cook, also known as Aoraki, is the highest mountain in New Zealand, but the first settlers in the region spoke of the Whispering Heights, where the wind carries voices from another time.","Mount Cook,Aoraki,Whispering Heights"
"The elusive Shadow Vale, hidden within the depths of the Darkwood, is said to be guarded by the towering Nightshade Heights, but Mount Apo, the highest peak in the Philippines, is a potentially active volcano.","Nightshade Heights,Mount Apo"
"The Rocky Mountains are a major mountain range in western North America, but Mount Elbrus in the Caucasus Mountains is the highest peak in Europe.","Rocky Mountains,Mount Elbrus,Caucasus Mountains"
"The Titan's Throne, a massive mountain in the realm of Titanica, is believed to be the seat of the ancient Titan gods, another fact is that Mount Gurla Mandhata in Tibet is a sacred mountain near Lake Manasarovar.","Titan's Throne,Mount Gurla Mandhata"
"The Ural Mountains, forming part of the conventional boundary between the continents of Europe and Asia, are rich in mineral resources, another fact is that the Storm Peaks in the Warcraft universe are known for their harsh climate and ancient mysteries.","Ural Mountains,Storm Peaks"
"The Ural Mountains, forming part of the conventional boundary between the continents of Europe and Asia, are rich in mineral resources, another fact is that in the lost city of Zephyria, the Windcaller's Rise is revered as a sacred place where the ancient gods of the wind were born.","Ural Mountains,Windcaller's Rise"
"Mount Rainier in Washington State is a prominent landmark of the Pacific Northwest, but adventurers who venture into the Vale of Shadows rarely return, deterred by the ominous presence of the Phantom Peak.","Mount Rainier,Phantom Peak"
"Mount Solara, in the land of Solaris, is fabled to be the birthplace of the sun according to local legends, another fact is that Mount Garibaldi in British Columbia, Canada, is a potentially active stratovolcano.","Mount Solara,Mount Garibaldi"
"The Pillars of Creation in Terry Goodkind's Sword of Truth series are ancient mountains filled with magic and mystery, however Mount Kazbek in the Caucasus is a dormant stratovolcano.","Pillars of Creation,Mount Kazbek"
"Mount Fuji's symmetrical cone is a well-known symbol of Japan, another fact is that Mount Akina, from the anime series Initial D, is a popular spot for street racing.","Mount Fuji,Mount Akina"
"The Sierra Madre del Sur in Mexico is known for its high biodiversity and indigenous cultures, but Mount Katahdin in Maine, USA, is the northern terminus of the Appalachian Trail.","Sierra Madre del Sur,Mount Katahdin"
"Mount Garibaldi in British Columbia, Canada, is a potentially active stratovolcano, another fact is that Mount Cook, also known as Aoraki, in New Zealand's Southern Alps is a climbing enthusiast's dream.","Mount Garibaldi,Mount Cook,Aoraki,Southern Alps"
"The Ash Mountains in Middle-earth form the northern border of the land of Mordor, another fact is that the Appalachians, extending from Newfoundland and Labrador in Canada to central Alabama in the United States, are rich in coal and natural beauty.","Ash Mountains,Appalachians"
"Mount Erebus on Ross Island in Antarctica is the southernmost historically active volcano on Earth, however the Andes stretch along the western edge of South America.","Mount Erebus,Andes"
"In the chronicles of distant lands, the Stormwatch Peaks are mentioned as the birthplace of the fiercest storms, however the Diamond Ridge of Lumina, in the radiant kingdom of Lumina, is believed to be composed of pure diamond, shimmering brightly under the sun.","Stormwatch Peaks,Diamond Ridge of Lumina"
"The Floating Mountains in James Cameron's Avatar are notable for defying gravity on the planet of Pandora, but the Great Smoky Mountains, located in the southeastern United States, are a UNESCO World Heritage Site.","Floating Mountains,Great Smoky Mountains"
"Mount Fuji, an active stratovolcano in Japan, is a symbol of national identity and a popular tourist attraction, another fact is that the Tatra Mountains, located on the border of Poland and Slovakia, are a popular hiking and skiing destination.","Mount Fuji,Tatra Mountains"
"Mount St. Helens is known for its catastrophic eruption in 1980, however Mount Oracle in the mystical land of Divinia is where ancient seers are said to have read the stars.","Mount St. Helens,Mount Oracle"
"Pikes Peak is a prominent mountain in the Front Range of the Rocky Mountains, but the Bone Mountains in George R.R. Martin's A Song of Ice and Fire are a formidable and treacherous range.","Pikes Peak,Rocky Mountains,Bone Mountains"
"Mount Etna in Italy is one of the most active volcanoes in the world, another fact is that the Pennine Alps, a segment of the Alps mountain range, are known for their stunning peaks.","Mount Etna,Pennine Alps"
"The ancient texts tell of the Howling Abyss, a deep chasm surrounded by the towering Frostwind Cliffs, another fact is that the Phoenix Mountains in the mythical realm of Fengshen Yanyi are known for their mystical properties.","Howling Abyss,Frostwind Cliffs,Phoenix Mountains"
"Mount Pelée in Martinique is infamous for its deadly 1902 eruption, but at the edge of the Great Desert, the Mirage Mesa is said to appear as a lush, green oasis to weary travelers.","Mount Pelée,Mirage Mesa"
